source,patent_id,publication_number,title,abstract,assignee,inventors,publication_date,filing_date,country,source_url,keywords,candidate_application_areas,ipc_codes,cpc_codes,claims_excerpt,patent_family,citation_count
USPTO,US20200405195A1,US20200405195A1,Computational fabrics for monitoring human joint motion,Conductive stretchable fabrics are used to sense body joint motion. A first fabric reacts to different levels of strain with varying resistance to sense deformation and a second fabric augments the first fabric by sensing pressure from a body region during motion.,Dartmouth College,Ruibo Liu; Qijia Shao; Siqi Wang; Christina Ru; Devin Balkcom; Xia Zhou,2020-12-31,2020-06-25,US,https://patents.google.com/patent/US20200405195A1/en,computational fabric; joint motion; conductive fabric; strain sensing; pressure sensing,motion capture; rehabilitation; athletic monitoring,A61B5/11; G01B7/16; G01L1/20,A61B5/6804; D10B2401/16,,,
USPTO,US11453963B2,US11453963B2,Methods and apparatus for sensor or controller that includes knitted fabric,"A sensor may include a knitted pocket and loose yarn that is inside a cavity of the pocket. In some cases, this loose yarn is neither woven, nor knit, nor otherwise part of a fabric. A resistive pressure sensor may include a knitted pocket and loose conductive yarn that is inside the pocket. Pressure applied to the pocket may compress the loose yarn, which may increase the number of electrical shorts between different parts of the loose yarn, which in turn may decrease the electrical resistance of the loose yarn. A capacitive sensor may include a knitted pocket and insulative loose yarn that is inside the pocket. A strain sensor may include knitted conductive pleats. Electrical shorts may occur in contact areas where neighboring pleats meet. As the strain sensor stretches, these contact areas may become smaller, causing the electrical resistance of the pleats as a group to increase.",Massachusetts Institute of Technology,Jifei Ou; Daniel Oran; Don Haddad,2022-09-27,2019-09-16,US,https://patents.google.com/patent/US11453963B2/en,knitted pocket; conductive yarn; pressure sensor; capacitive sensor; strain sensor,textile interfaces; wearable sensing; pressure sensing,,D04B1/14; D02G3/441; D03D1/0088; D10B2401/16; D10B2403/02431,,,
USPTO,US9186092B2,US9186092B2,"System, garment and method","The present invention relates to a system and garment that incorporates sensors that can be used for measuring or monitoring pressure or forces in feet, the stumps of limbs of an amputee that are fitted with prosthetic devices, or any other parts of the body that are subject to forces such as the buttock while seated or when external pressure inducing devices are employed, such as for example, pressure bandages. The invention also relates to a method to monitor or diagnose any foot or limb related activity for recreational, sporting, military or medical reasons and is particularly aimed at the treatment of neuropathic or other degenerating conditions.",Sensoria Inc,Michael Anthony Mestrovic; Pamela Margaret Petersen; Robin William Cranston; Warren Bradley Stannard; Patrick Brendan D'Arcy,2015-11-17,2008-08-22,US,https://patents.google.com/patent/US9186092B2/en,textile pressure sensor; smart sock; plantar pressure; gait analysis; sweat sensing,foot health monitoring; gait analysis; smart garments,,A61B5/112; A61B5/1038; A61B5/14517; A61B5/6807,,,
USPTO,US12473896,US12473896,Thermally-Powered Polymer Fiber Actuators And Articles Including Same,"Actuators (artificial muscles) comprising twisted polymer fibers generate actuation when powered thermally. In some embodiments, the thermally-powered polymer fiber actuator can be incorporated into an article, such as a textile or garment.","Board of Regents, The University of Texas System",Na LI; Carter S. HAINES; Marcio D. LIMA; Monica Jung DeANDRADE; Shaoli FANG; Jiyoung OH; Mikhail E. KOZLOV; Dongseok SUH; Ray H. BAUGHMAN,2025-11-18,2024-08-12,US,https://patents.google.com/patent/US20240401574A1/en,actuators; fiber,Smart textiles,,F03G7/06113; F03G7/06; H02N11/006; Y10T428/2925; Y10T428/249921; F03G7/064; F03G7/066; F03G7/0633; D01D5/0007; D01F6/00; D01H1/10; D02G3/02; D02G3/26; D02G3/448; D04C1/02; D10B2401/046; D10B2401/061; D10B2509/00; H02N10/00,,,
USPTO,US12595602,US12595602,Method For Preparing Electrothermal Heating Sheet From Carbon Fiber Braided Fabric Scraps,"Provided is a method for preparing an electrothermal heating sheet from carbon fiber braided fabric scraps, including: cutting clumps of disordered carbon fiber braided fabric scraps into chopped carbon fibers; washing the chopped carbon fibers by separately using acetone and deionized water, and drying; preparing a corresponding dispersion; adding the chopped carbon fibers to the dispersion, and fully dispersing; performing vacuum filtration by using a double-layer metal screen, and drying to obtain a chopped carbon fiber felt; cutting the chopped carbon fiber felt, sticking electrodes to two ends of the chopped carbon fiber felt, and covering thermoplastic polyurethane (TPU) sheets on front and back surfaces of the chopped carbon fiber felt to form a heating sheet product having electrothermal performance and electromagnetic shielding performance. The direct discarding of the carbon fiber braided fabric scraps and the scraps resulting from cutting in the preparation process as wastes may result in not only great wasting of materials but also in environmental pollution. The method fully utilizes the carbon fiber braided fabric scraps and is low in cost, and the prepared product has excellent electrothermal performance and electromagnetic shielding performance.",Zhengzhou University,Na Zhang; Maolin Zheng; Ming Huang; Chuntai Liu; Xiaofeng Cui; Songlin Du; Wei Wei,2026-04-07,2024-06-12,US,https://patents.google.com/patent/US20250066960A1/en,fabric; fiber; heating,Smart textiles,,D04H1/4242; B32B37/1018; B32B2305/20; B32B2305/70; B32B2313/04; B32B2375/00; B32B2457/00; D04H1/587; D04H1/645; D10B2101/12; D10B2401/18; H05B3/145,,,
USPTO,US12529711,US12529711,Probe Module For Testing Of Electrical Resistivity Of Conductive Fiber Materials,"A probe module for testing the resistivity of a conductive fiber material includes four gland spring holes in the upper end gland are uniformly formed in the bottom surface of the gland main body; one end of a pressure spring is abutted against the top of the gland spring holes, and the other end of the pressure spring contacts a conductive sheet; an outer wall of a probe frame is of an external thread structure which is matched with an internal thread structure of an internal threaded hole and threadably secured thereto; the probe frame is internally provided with a spring probe; a pressure sensor contacts the conductive sheet, and both are sleeved on an upper part of the spring probe; and the top end of the spring probe is in contact with the pressure spring, and the bottom end of the spring probe contacts a conductive fiber material sample.","NATIONAL INSTITUTE OF METROLOGY, CHINA",Senlin JIN; Lingling REN; Junwei CAO; Guodong WU; Jianyun HE,2026-01-20,2024-04-11,US,https://patents.google.com/patent/US20240345131A1/en,conductive; conductive fiber; fiber,Conductive yarn/fiber,,G01N27/041; G01R1/06722; Y02A90/30; G01R1/07314; G01R27/02,,,
USPTO,US12209891,US12209891,Method And Apparatus For Real Time Respiratory Gating Signal Generation And Detection Of Body Deformation Using Embedded Fiber Bragg Gratings,"A method and system of compensating for body deformation during image acquisition or external beam treatment includes acquiring image data of a body and peak wavelength data from a plurality of fiber Bragg gratings (FBGs) disposed on the body aligned along a predetermined coordinate system on the body, such as a cartesian coordinate system. The method further comprises detecting effective shifts of the Bragg wavelengths of the FBGs caused by body deformation during image acquisition, and controlling the movement of the body through a cavity in a scanning device and controlling the acquisition of the image data or external beam treatment during body deformation based on the effective shifts of the Bragg wavelengths of the FBGs.",EmpNia Inc.,Manojeet BHATTACHARYA,2025-01-28,2024-01-10,US,https://patents.google.com/patent/US20240210218A1/en,fiber; respiratory,Smart textiles,,A61B6/037; G01D5/35316; A61B2034/2061; A41D13/1281; A61B5/055; A61B5/1077; A61B5/113; A61B5/6801; A61B5/6804; A61B6/03; A61B6/5264; A61B6/5288; A61B6/541; A61B2017/00699; A61B2562/0266; A61N5/1049; A61N2005/1059; G01D5/35335; G01D5/35367; G01L1/246; G01R33/56509; G01R33/5673; G02B6/022; G02B6/02209; G02B6/3608,,,
USPTO,US12436047,US12436047,Stretchable Fiber Optic Pressure Sensors And Uses Thereof,"A stretchable fiber optic pressure sensor is a sensing device that uses stretchable optical fibers that deform in response to an applied force. A deformation of a fiber causes a decrease in an intensity or alters a duration of the transmitted light due to a bend, crease, or dent in the fiber. The sensor may be configured to determine a pressure or force as applied by an appendage of a user. Multiple sensors may be configured to be in contact with multiple appendages, such as insoles inserted in shoes to determine walking attributes such as a gait, posture, pace, toe-walking, limping, stumbling, foot drop, swaying, or shuffling of a user. The sensor is configurable to transmit data associated with the applied pressure or force to a user's mobile device or computer to monitor or diagnose health issues associated with walking attributes determined through the use of the sensor.",CORNELL UNIVERSITY,Jeyeon Jo; Heeju Park,2025-10-07,2024-01-05,US,https://patents.google.com/patent/US20240230434A1/en,fiber; sensors,Textile sensors,,G01L1/243; A43B3/44; A61B5/1038; A61B5/6807; A61B2560/0214; A61B2562/0266; A61B2562/043; A61B2562/164; A61B2562/166; G01B11/16; G01N33/367; G01N2223/615,,,
USPTO,US12565717,US12565717,Fabricating Method Of Temperature-Sensing And Humidity-Controlling Fiber,"A temperature-sensing and humidity-controlling fiber includes a hydrophilic material and a temperature-sensing material. The temperature-sensing material has a lower critical solution temperature (LCST) between 31.2° C. and 32.5° C. when a light transmittance thereof is in a range from 3% to 80%, in which a wavelength of the light is between 450 nm and 550 nm.",TAIWAN TEXTILE RESEARCH INSTITUTE,Wen-Jung CHEN; Wei-Hsiang LIN; Chao-Huei LIU,2026-03-03,2023-12-06,US,https://patents.google.com/patent/US20240102207A1/en,fiber; sensing,Smart textiles,,D01F1/10; D01F6/62; C08L67/02; C08L2203/12; C08L2205/025; C08L2310/00; D01F6/92; D10B2401/022; D10B2401/04,,,
USPTO,US12569677,US12569677,Conductive Pad Incorporating A Conductive Fabric Material,A system for generating a TTField utilizing at least one conductive pad is herein described. The system comprises a generator configured to generate an electrical signal; a first lead coupled to the generator and a first conductive pad and configured to carry the electrical signal; the first conductive pad has a first electrode element comprising a first conductive fabric to supply electrical current to a patient; a second lead coupled to the generator and a second conductive pad and configured to carry the electrical signal; and the second conductive pad having a second electrode element comprising a second conductive fabric to supply electrical current to the patient.,Novocure GmbH,Richard Deslauriers,2026-03-10,2023-11-16,US,https://patents.google.com/patent/US20240157133A1/en,conductive; conductive fabric; fabric,Smart textiles,,A61N1/36002; A61N1/0496; A61N1/36034; A61N1/3603; A61N1/0484; A61N1/0492; A61N1/06; A61N1/40,,,
USPTO,US12455618,US12455618,Conductive Fabric Architecture,"A head-mountable device including a display, a housing at least partially surrounding the display, a facial interface attached to the housing, and a cover positioned between the housing and the facial interface, the cover comprising a conductive fabric.",Apple Inc.,Javier C. Mendez; Nicholas C. Soldner; Darshan R. Kasar; Grant H. Mulliken,2025-10-28,2023-08-15,US,https://patents.google.com/patent/US20240077940A1/en,conductive; conductive fabric; fabric,Smart textiles,,G02B27/0176; G06F3/012; G06F3/041; G02B27/017; G02B27/0172; G06F1/163; G06F3/01; G06F3/011,,,
USPTO,US12506286,US12506286,"Sheet Type Conductive Member, Connector, Garment, And Connector Mounting Method","A sheet type conductive member includes a flexible conductor formed of a conductive thread embroidered on or woven into a sheet body, the flexible conductor including a first end portion electrically connected to a wiring portion of a garment, a second end portion electrically connected to a contact, and a joint portion joining the first end portion and the second end portion together, an exposure area of the conductive thread per unit area in the first end portion and the second end portion being larger than an exposure area of the conductive thread per unit area in the joint portion.","Japan Aviation Electronics Industry, Limited",Tetsuya KOMOTO,2025-12-23,2023-06-20,US,https://patents.google.com/patent/US20240030631A1/en,conductive; garment,Smart textiles,,H01B5/14; H01R12/59; H01R12/65; A41D1/005; A41D27/00; H01B7/0045; H01B7/04; H01B7/08; H01R12/592; H01R12/7011; H01R12/771; H01R12/778; H01R13/02; H01R13/40; H01R13/502; H01R43/00; H01R43/26; H05K1/038; H05K1/118; H05K1/184; H05K1/189; H05K2201/09409; H05K2201/10189,,,
USPTO,US12525738,US12525738,"Method Of Manufacturing Sheet Type Conductive Member, Sheet Type Conductive Member, Connector, Garment, And Connector Mounting Method","A method of manufacturing a sheet type conductive member is a method in which, by continuously embroidering or weaving a conductive thread on or into an insulating sheet member including a sheet body region and a peripheral region, a plurality of flexible conductors situated inside the sheet body region and at least one connection conductor situated in the peripheral region and interconnecting corresponding two flexible conductors are formed, and thereafter, the peripheral region of the sheet member is separated from the sheet body region, and the at least one connection conductor is separated from the plurality of flexible conductors.","TISM CO., LTD.",Tetsuya KOMOTO; Akihiko FUSHIMI,2026-01-13,2023-06-06,US,https://patents.google.com/patent/US20240030645A1/en,conductive; garment,Smart textiles,,H01B13/00; H01R12/778; H01R13/502; A41D1/005; A41D27/00; H01B7/0045; H01B7/04; H01B7/083; H01R12/59; H01R12/65; H01R12/7011; H01R12/771; H01R13/02; H01R13/424; H01R43/00; H05K1/038; H05K1/118; H05K1/189; H05K2201/0281; H05K2201/10189,,,
USPTO,US12609214,US12609214,"Conductive Nonwoven Fabric, And Method For Manufacturing Conductive Nonwoven Fabric","There are provided a conductive nonwoven fabric and a manufacturing method thereof, the conductive nonwoven fabric including: a plated felt portion including a felt portion formed of a plurality of first fibers that extend in irregular directions and that are stacked, and a metal plating applied to the first fibers of the felt portion; and at least one plated warp including a warp formed of a plurality of second fibers and the metal plating applied to the second fibers of the warp. The at least one plated warp is formed to extend in a specific direction with respect to the plated felt portion, and a density of the second fibers is higher than a density of the first fibers.",YAZAKI CORPORATION,Hiroki Kondo; Satoka Ohnishi; Satoko Hongo,2026-04-21,2023-05-13,US,https://patents.google.com/patent/US20230411037A1/en,conductive; conductive nonwoven; fabric; nonwoven,Smart textiles,,H01B5/00; C23C18/31; D04H1/72; D04H1/74; D06M11/83; D10B2401/063; D10B2401/16; H01M10/0525; H01M10/0562; H01M2300/0068,,,
USPTO,US11824289,US11824289,Connectable Electric Device To A Textile Electrically Conductive Band,"Electric device with electric connection means suitable for connecting it to an electric power source, comprising a supporting surface for a textile electrically conductive band and retention means for retaining the textile electrically conductive band on supporting surface. Electric connection means comprise piercing means for piercing the textile electrically conductive band which are suitable for conducting an electric current. Textile electrically conductive band is made of double weaving and comprises two mutually parallel electrically conductive guides extending along the band. Each of the electrically conductive guides is located between two layers of textile material of said double weaving.",VIBIA LIGHTING S.L.,Stefan DIEZ,2023-11-21,2023-04-24,US,https://patents.google.com/patent/US20230261396A1/en,conductive; textile,Smart textiles,,H01R12/65; H01R13/6272; H01R13/629; H05K1/038; H05K1/147,,,
USPTO,US12422317,US12422317,Fiber Optic Sensor Egress/Ingress Ruggedization For Flexible Woven Structures,"An apparatus comprises a flexible woven structure including an egress and/or ingress location at an external surface of the flexible woven structure. A fiber optic sensor is embedded in the flexible woven structure to allow the fiber optic sensor to detect one or more of strain, temperature, vibration, acoustics, 3-dimensional shape and/or pressure on the flexible woven structure. The fiber optic sensor extends out of the flexible woven structure at the egress and/or ingress location for connection to a connector or a termination. First thread stitches fasten the fiber optic sensor and any protective coatings, tubing, or conduit to the external surface of the flexible woven structure near the egress and/or ingress location. An optional reinforcement patch may cover the egress and/or ingress location and a portion of fiber optic sensor that extends out of the flexible woven structure at the egress and/or ingress location. Second thread stitches fasten the reinforcement patch to the external surface of the flexible woven structure to protect the fiber optic sensor and reduce bending and stress at the egress/ingress location.",Luna Innovations Incorporated,Osgar John OHANIAN III; James Craig KITCHIN; Susan Mae Rankin POPE,2025-09-23,2023-03-30,US,https://patents.google.com/patent/US20240328877A1/en,fiber; sensor; woven,Textile sensors,,G01L1/242; D03D15/547; D03D1/0088; D03D11/00; D10B2401/20,,,
USPTO,US20230304197A1,US20230304197A1,Highly Sensitive Acoustic Fabric Including An Acoustic Fiber Transducer,"The acoustic fiber transducer has a piezoelectric domain with Young's modulus, E piezo , and including a non-centrosymmetric crystalline-phase piezoelectric material and inorganic piezoelectric particles. At least one charge collector domain is in electrical connection with the piezoelectric domain and includes an electrically conductive material operative to collect electrical charge generated in the piezoelectric domain. At least one electrical conductor is in electrical contact with the at least one charge collector domain and includes an electrically conductive material operative to transport electrical charge from a charge collector domain to an end of the acoustic fiber transducer as an electrical signal indicative of input acoustic sound pressure on a matrix of textile fibers that includes the acoustic fiber transducer. Outer acoustic energy transmission material has a Young's modulus E trans , of 0.3 Pa-500 MPa, for matching vibrational modes of the textile fiber matrix. A ratio of E piezo /E trans is between about 5 and about 70,000.",Massachusetts Institute of Technology,YOEL FINK; WEI YAN,2023-09-28,2023-02-16,US,https://patents.google.com/patent/US20230304197A1/en,fabric; fiber; transducer,Textile sensors,,D03D1/0088; H04R17/005; D03D15/283; D03D15/217; D03D15/533; D03D15/235; D03D15/292; H10N30/045; H10N30/30; H10N30/857; H10N30/702; D10B2201/02; D10B2211/04; D10B2321/021; D10B2331/021; D10B2331/04; D10B2401/061; D10B2401/16; D10B2401/18; H04R1/028; H04R2217/01,,,
USPTO,US12342877,US12342877,Conductive Band For Biosensing Garments,"Embodiments described herein relate generally to wearable electronic biosensing garments. In some embodiments, an apparatus comprises a biosensing garment and a plurality of electrical connectors that are mechanically fastened to the biosensing garment. A plurality of printed electrodes is disposed on the biosensing garment, each being electrically coupled, via a corresponding conductive pathway, to a corresponding one of the plurality of electrical connectors. The apparatus can further include an elongate member including a conductive member that is coupled to a plurality of elastic members in a curved pattern and that is configured to change from a first configuration to a second configuration as the elongate member stretches. The change from the first configuration to the second configuration can result in a change of inductance of the conductive member.","HONEYWELL SAFETY PRODUCTS USA, INC.",Aldjia BEGRICHE; Payam LAZEMI; Maria Elina NURKKA; Thierry DUMONT; Pascal FORTIER-POISSON,2025-07-01,2022-10-11,US,https://patents.google.com/patent/US20230035612A1/en,conductive; garments,Smart textiles,,A41D1/005; A41D13/1281; A61B5/296; A61B5/282; A61B5/25; A41C3/0057; A41F15/002; A61B5/6804; A61B2562/0209; A61B2562/043; A61B2562/125; A61B2562/166; A61B2562/227; A63B24/0062; A63B2230/04; A63B2230/06; A63B2230/42; A63B2230/60; B32B5/02; B32B5/26; B32B27/12; B32B27/40; B32B2307/202; B32B2437/00; B32B2457/00; D02G3/441; D10B2501/02; H05K1/0283; H05K1/038; H05K2201/10151; H05K2201/10189; H05K2201/10287; H05K2201/10401,,,
USPTO,US11982047,US11982047,Silver-Plated Conductive Nylon Fiber And Preparation Method Thereof,"The invention provides a silver-plated conductive nylon fiber and a preparation method thereof. The method includes: immersing a nylon fiber in an aqueous solution containing a polyphenolic compound at 60° C. to 70° C., adding a water-soluble oxidant into the solution, continuously reacting at 70° C. to 80° C., and obtaining a polyphenol grafted nylon fiber, where the polyphenolic compound contains a catechol group; immersing the polyphenol grafted nylon fiber into a solution containing silver ions at 15° C. to 25° C. for reaction, and raising the temperature to 70° C. to 80° C. for continuous reaction to obtain a surface-activated nylon fiber; and carrying out chemical silver plating treatment on the surface-activated nylon fiber to obtain the silver-plated conductive nylon fiber. The method does not require a heavy metal sensitizer and therefore is non-toxic and environment-friendly, and the fiber strength is maintained.",SOOCHOW UNIVERSITY,Tieling XING; Xin AI; Ailing XIE; Shenzhou LU; Guoqiang CHEN,2024-05-14,2022-08-08,US,https://patents.google.com/patent/US20240026601A1/en,conductive; fiber,Smart textiles,,D06M11/83; D06M11/55; D06M13/175; D06M13/1845; D06M13/207; D06M13/2246; D06M13/238; D06M14/16; D06M15/53; D06M16/00; D06M2101/34; D06M2200/00,,,
USPTO,US12276555,US12276555,Conductive Yarn Pressure Sensor With Sensing Electrodes Physically Or Electrically Contacting Each Other Through Openings In Intermediate Layer In Reponse To External Pressure,"A conductive yarn pressure sensor is proposed. The pressure sensor may include a porous fiber layer having predetermined cavities formed therein. The pressure sensor may also include a first sensing electrode made of a first conductive yarn formed on one surface of the porous fiber layer, and a second sensing electrode made of a second conductive yarn formed on the other surface of the porous fiber layer. The first sensing electrode or the second sensing electrode may be provided so as to be in contact with each other in the cavities of the porous fiber layer due to external pressure. According to an embodiment, by having conductive yarn in flexible clothing or textile material, pressure can be sensed by effectively responding to deformation due to external pressure.",KOREA ELECTRONICS TECHNOLOGY INSTITUTE,Won Hyo KIM; Woo Kyeong SEONG; Kook Nyung LEE; Su Mi YOON; Dong Ki HONG; Young Joo KIM; Hye Lim KANG,2025-04-15,2022-07-07,US,https://patents.google.com/patent/US20220341797A1/en,conductive; conductive yarn; electrodes; sensing; sensor; yarn,Wearable health monitoring,,G01L1/2287; D03D15/533; B32B5/263; B32B5/024; B32B7/14; B32B2250/20; B32B2307/202; B32B2457/00; D03D1/0088,,,
USPTO,US12465274,US12465274,Wearable Textile-Based Hydrogel Electrode For Measuring Biopotential,"A textile-based hydrogel electrode comprises a textile-based backing layer, a conductive structure coupled to the textile-based backing layer, and a hydrogel body in contact with at least a first portion of the conductive structure, wherein the first portion of the conductive structure and the hydrogel body form an ionic interface configured to generate an electrical signal through the conductive structure corresponding to a biopotential change proximate to the textile-based hydrogel electrode.",University of Massachusetts,Seyedeh Zohreh Homayounfar; Ali Kiaghadi; Soha Rostaminia; Deepak Ganesan; Trisha L. Andrew,2025-11-11,2024-02-09,US,https://patents.google.com/patent/US20240245343A1/en,biopotential; electrode; textile; wearable; wearable textile,Wearable health monitoring,,A61B5/398; A61B2562/0215; A61B5/2415; A61B5/297; A61B5/256; A61B5/6814; A61B5/6833; A61B5/688,,,
USPTO,US12266252,US12266252,"Work Content Detection Determination Device, Work Content Detection Determination System, And Wearable Sensor Embedded Glove","A work detection determination system performs detection determination on a work with high accuracy.The work detection determination system includes a glove that is worn on a hand of a worker and includes a microphone detecting a work sound of a hand operation in which the hand works on a work target through a contact of the hand with the work target, a pressure sensor detecting a pressure of a work of the hand operation, a motion sensor detecting a motion of the hand operation, and a transmitting unit transmitting a sound signal of the microphone, a pressure signal of the pressure sensor, and a motion signal of the motion sensor; a receiving unit that receives the sound signal, the pressure signal, and the motion signal transmitted from the transmitting unit; a work determination unit that performs detection determination of a work content of the worker by using the sound signal, the pressure signal, and the motion signal; and a notification unit that notifies a determination result of the work determination unit.","Hitachi, Ltd.",Tetsuya ISHIMARU; Hiroyuki YOSHIMOTO; Yoshihiro WAKISAKA; Nobuyuki SUGII,2025-04-01,2023-11-27,US,https://patents.google.com/patent/US20240169816A1/en,glove; sensor; wearable,Textile sensors,,G08B21/02; H04R1/028; A41D13/00; A41D13/08; A41D19/00; A41D19/015; G01L1/20; G01L5/228; G01P13/00; G01P15/00; G01P15/18; H01R43/00; H04R1/08; H04R3/005; H04R2201/023,,,
USPTO,US12154446,US12154446,Operational Information Management System and Wearable Sensor,"An operation motion is accurately determined in an operational information management system. The system includes a motion verification portion that combines and verifies plurality of pieces of sensor information and recognizes a specific body motion, a signal determination portion that determines whether an operation content of an operator is correctly performed based on the body motion recognized by the motion verification portion, and a report portion that reports a determine result of the signal determination portion.","Hitachi, Ltd.",Hiroyuki YOSHIMOTO; Tetsuya ISHIMARU; Nobuyuki SUGII; Yoshihiro WAKISAKA; Noriyuki HAGA,2024-11-26,2023-11-17,US,https://patents.google.com/patent/US20240087470A1/en,sensor; wearable,Textile sensors,,G09B19/003; A41D19/0027; G01D7/08; G01D21/02,,,
USPTO,US12514304,US12514304,Apparel With Pressure Sensor Control,"An article of apparel and method include a structure configured to enclose a human body part, a pressure sensor array including multiple pressure sensors separately positioned at locations within the structure, wherein each pressure sensor is configured to output a signal indicative of an amount of pressure being exerted on the pressure sensor by an external mechanical force, an electronic display, and a controller. The controller is configured to receive signals from the pressure sensors and, based on a sequence and a timing of the signals as received, determine a command related to a function of a device. The electronic display is configured to display information related to the function.","NIKE, Inc.",Hamid Alipour; Holli Pheil; Mark VanWeerd,2026-01-06,2023-08-16,US,https://patents.google.com/patent/US20230389626A1/en,apparel; sensor,Textile sensors,,A41D1/002; G01L1/205; A41D3/00; A41D27/00; A41D27/205; G01L1/20; G01L1/2287; G01L5/008; G01L5/22,,,
USPTO,US12454775,US12454775,Printed electronic textile component,"The drapable electronic component comprises a protective layer formed of a textile and a protective polymer layer coating one side of the textile, an electronic layer deposited on the textile on the other side of the textile and formed by printing a conductive, semiconductor or dielectric ink; the textile is a fabric obtained by weaving continuous yarns, it has a cover factor CF25 higher than or equal to 0.5, CF25=(number of filaments/cm×diameter of 1 filament in cm) warp +(number of filaments/cm×diameter of 1 filament in cm) weft over 25 μm thickness of said textile, the textile having a thickness of between 25 and 400 μm.",PORCHER INDUSTRIES,Florence ANDRIOLETTI; Estelle DALOD,2025-10-28,2023-08-15,US,https://patents.google.com/patent/US20240301595A1/en,electronic; electronic textile; textile,Smart textiles,,D03D1/0088; D03D15/283; D03D15/267; D03D13/008; D10B2331/02; D10B2331/04; D10B2401/18; D10B2403/0241; D10B2403/0243; H05K1/038,,,
USPTO,US12618724,US12618724,Fabric-Type Sensor Including Fabric Base Material And A Line-Shaped Sensor Element And Fabric-Type Sensor Device,"[Problem] To Provide a fabric-like sensor in which an output signal can be improved when in use and damage or fracture of a sensor element hardly occurs, and a fabric-like sensor device using it. Solution In a fabric-like sensor S having a fabric base material 1 and a line-shaped sensor element 2 , at least one line-shaped cavity portion 11 is provided inside the fabric base material 1 , and at least a part of the cavity portion 11 is composed of a raw fabric at least a part of the cavity portion has no elasticity in a line direction of the cavity portion 11 , and further the line-shaped sensor element 2 is arranged in a state of not being substantially constrained or fixed in at least one of cavity portions in a fabric 1.","SHINDO CO., LTD.",Ken OGASAWARA; Satoshi SHIMIZU; Masaaki SASAKI; Manabu NAKAJIMA; Masahiro MURAO; Ken MIYAZAKI,2026-05-05,2023-07-26,US,https://patents.google.com/patent/US20240085252A1/en,fabric; sensor,Textile sensors,,G01L1/16,,,
USPTO,US12290706,US12290706,"A Respiratory Protective Device Or Face Mask Hygiene Product, A Method For The Manufacture Of Reinforced Textile Part, Nonwoven Fabric Part Or Their Combination Part, And A Filter","A faceblank ( 5 ) for a respiratory protective device or face mask hygiene product ( 1 ), where the shape of the faceblank ( 5 ) defines a number of filter openings ( 2, 3, 4 ) and which further comprises a head harness ( 6 ) or fastening for a head harness ( 6 ) and is characterised in that the filter openings ( 2, 3, 4 ) have been implemented to comprise a tongue ( 7 ), most advantageously so that the edge of each opening ( 2, 3, 4 ) is composed of a tongue. The faceblank is used with a number of replaceable filters ( 10 ) adapted in the filter openings ( 2, 3, 4 ) of the faceblank ( 5 ), each filter ( 10 ) comprising a filter part ( 11 ) and a frame ( 12 ) that encircles the filter part ( 11 ), in which frame ( 12 ) the outer edge has been implemented to comprise a groove ( 13 )—most advantageously so that the outer edge of each frame ( 12 ) consists of a groove ( 13 )—so that the filters ( 10 ) are fastenable to the filter openings ( 2, 3, 4 ) of the faceblank ( 5 ) by means of a tongue-and-groove connection, in which case the tongue ( 7 ) and groove ( 13 ) form an air-tight tongue-and-groove connection. Further independent claims directed to filters and methods for the manufacture of reinforced textile part, nonwoven fabric part or their combination part.",FORSSAN SUOJAINVALMISTUS OY,Taneli PORANEN; Sami KOTINIEMI,2025-05-06,2023-06-26,US,https://patents.google.com/patent/US20230390593A1/en,fabric; nonwoven; respiratory; textile,Smart textiles,,A41D13/1146; A62B18/025; A41D13/1161; A62B23/025; B29C45/14024; B29C45/14262; B29C45/14786; B29C45/14811; B29K2023/12; B29K2223/12; B29K2313/00; B29L2031/14; B29L2031/4835,,,
USPTO,US12108546,US12108546,Electronic Display Assembly With Fabric Panel Communications Box,"A display assembly, communications box, and related methods are disclosed. A display assembly includes an electronic display subassembly attached to a mounting structure. A communications box attached to the mounting structure has an interior space for electronic equipment which is located above, and spaced apart from, the electronic display subassembly. A gas permeable fabric panel of the communications box occupies at least a majority of a side of the communications box and is gas permeable, such as to allow airflow to electronics contained therein.","Manufacturing Resources International, Inc.",William Dunn; Mike Brown; Geoffrey Watson,2024-10-01,2024-06-07,US,https://patents.google.com/patent/US20240324110A1/en,electronic; fabric,Smart textiles,,H05K5/10; H05K5/0215; G02F1/133308; H05K5/0204; H05K5/0243; H05K5/0247; H05K7/186; H05K7/20172; H05K7/20954; H05K7/20972,,,
